GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360850105001,360850105001,Block Group 1; Census Tract 105; Richmond County; New York,Staten Island,664,209,67,0.3205741626794258,363,102,0.2809917355371901,155,0.233433734939759,94,0.1415662650602409,82,0.1234939759036144,174,0.2620481927710843,0,0.0,171,0.2575301204819277,26,0.124401913875598,36085010500,5635,983,0.1744454303460514,5635,555,0.0984915705412599,5635,406,0.0720496894409937,143753,0.143753,4619.034037550521,0.9623496820366968
360850146071,360850146071,Block Group 1; Census Tract 146.07; Richmond County; New York,Staten Island,2922,989,63,0.063700707785642,1331,80,0.0601051840721262,872,0.298425735797399,430,0.1471594798083504,2216,0.758384668035592,0,0.0,455,0.1557152635181382,217,0.0742642026009582,77,0.0778564206268958,36085014607,4738,388,0.0818910932883073,4754,434,0.0912915439629785,4754,55,0.0115692048801009,401346,0.401346,7280.501113752224,0.5924972634705666
360850146081,360850146081,Block Group 1; Census Tract 146.08; Richmond County; New York,Staten Island,1668,561,156,0.2780748663101604,786,38,0.0483460559796437,378,0.2266187050359712,357,0.2140287769784172,1340,0.8033573141486811,0,0.0,57,0.0341726618705036,271,0.1624700239808153,68,0.1212121212121212,36085014608,3592,168,0.0467706013363029,3592,300,0.0835189309576837,3592,52,0.0144766146993318,208360,0.20836,8005.37531196007,0.3492168002761102
360850147001,360850147001,Block Group 1; Census Tract 147; Richmond County; New York,Staten Island,753,319,11,0.0344827586206896,366,12,0.0327868852459016,175,0.2324037184594953,105,0.1394422310756972,501,0.6653386454183267,0,0.0,72,0.095617529880478,180,0.2390438247011952,11,0.0344827586206896,36085014700,3367,182,0.054054054054054,3367,377,0.1119691119691119,3367,95,0.0282150282150282,324247,0.324247,2322.303675901396,0.9089905576446874
360850151001,360850151001,Block Group 1; Census Tract 151; Richmond County; New York,Staten Island,2142,766,321,0.4190600522193211,915,174,0.1901639344262295,536,0.2502334267040149,313,0.146125116713352,1612,0.7525676937441643,0,0.0,205,0.0957049486461251,221,0.1031746031746031,28,0.0365535248041775,36085015100,5048,289,0.0572503961965134,5070,572,0.1128205128205128,5070,49,0.0096646942800788,316575,0.316575,6766.169154228855,0.8934092246346668
360850156011,360850156011,Block Group 1; Census Tract 156.01; Richmond County; New York,Staten Island,1596,556,257,0.4622302158273381,886,200,0.2257336343115124,409,0.256265664160401,136,0.0852130325814536,914,0.5726817042606517,120,0.075187969924812,492,0.3082706766917293,36,0.0225563909774436,42,0.0755395683453237,36085015601,6214,467,0.0751528805922111,6214,508,0.0817508850981654,6214,137,0.0220469906662375,331789,0.331789,4810.286055294178,0.8403341717149235
360850156021,360850156021,Block Group 1; Census Tract 156.02; Richmond County; New York,Staten Island,570,259,8,0.0308880308880308,245,0,0.0,95,0.1666666666666666,195,0.3421052631578947,523,0.9175438596491228,0,0.0,23,0.0403508771929824,8,0.0140350877192982,0,0.0,36085015602,3650,381,0.1043835616438356,3650,278,0.0761643835616438,3650,99,0.0271232876712328,202484,0.202484,2815.037237510124,0.6831171748572743
360850156031,360850156031,Block Group 1; Census Tract 156.03; Richmond County; New York,Staten Island,1080,359,55,0.1532033426183844,482,77,0.1597510373443983,171,0.1583333333333333,364,0.337037037037037,445,0.412037037037037,0,0.0,341,0.3157407407407407,294,0.2722222222222222,0,0.0,36085015603,5417,671,0.1238693003507476,5417,437,0.0806719586486985,5417,146,0.0269521875576887,267985,0.267985,4030.076310241245,0.939026725272412
360850169011,360850169011,Block Group 1; Census Tract 169.01; Richmond County; New York,Staten Island,1435,445,134,0.3011235955056179,857,252,0.294049008168028,301,0.2097560975609756,246,0.1714285714285714,1065,0.7421602787456446,5,0.0034843205574912,196,0.1365853658536585,169,0.1177700348432055,0,0.0,36085016901,3552,31,0.0087274774774774,3586,226,0.0630228667038483,3586,171,0.0476854433909648,499624,0.499624,2872.159864217892,0.639445703035145
360850170051,360850170051,Block Group 1; Census Tract 170.05; Richmond County; New York,Staten Island,2481,960,244,0.2541666666666666,1288,127,0.0986024844720497,641,0.2583635630794034,411,0.1656590084643289,1993,0.8033051189036678,10,0.004030632809351,295,0.1189036678758565,111,0.0447400241837968,0,0.0,36085017005,4526,132,0.0291648254529385,4526,321,0.0709235528060097,4526,34,0.0075121520106053,964216,0.964216,2573.0749126751684,0.8568745592277105
360850170071,360850170071,Block Group 1; Census Tract 170.07; Richmond County; New York,Staten Island,2679,685,164,0.2394160583941605,1131,248,0.2192749778956675,848,0.3165360209033221,324,0.1209406494960806,1280,0.4777902202314296,43,0.0160507652108995,499,0.1862635311683464,857,0.3198954833893244,4,0.0058394160583941,36085017007,6346,690,0.1087299086038449,6340,625,0.0985804416403785,6340,168,0.0264984227129337,1195127,1.195127,2241.6027752699083,0.7321857458973579
