GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360471004001,360471004001,Block Group 1; Census Tract 1004; Kings County; New York,Brooklyn,2423,821,443,0.5395858708891595,1008,424,0.4206349206349206,504,0.2080066033842344,416,0.1716879900949236,91,0.0375567478332645,2085,0.8605035080478746,29,0.0119686339248865,96,0.0396203054065208,90,0.1096224116930572,36047100400,2423,283,0.1167973586463062,2423,336,0.1386710689228229,2423,198,0.0817168799009492,132054,0.132054,18348.554379269088,0.6440040768315525
360471022001,360471022001,Block Group 1; Census Tract 1022; Kings County; New York,Brooklyn,2067,708,397,0.5607344632768362,936,332,0.3547008547008547,525,0.2539912917271408,331,0.1601354620222544,356,0.1722302854378326,1264,0.6115142718916304,144,0.06966618287373,159,0.0769230769230769,39,0.0550847457627118,36047102200,2067,129,0.0624092888243831,2067,246,0.1190130624092888,2067,53,0.0256410256410256,162849,0.162849,12692.739900152905,0.6557149801479696
360471024001,360471024001,Block Group 1; Census Tract 1024; Kings County; New York,Brooklyn,1834,568,228,0.4014084507042254,790,183,0.2316455696202531,489,0.2666303162486368,259,0.1412213740458015,175,0.0954198473282442,1369,0.7464558342420938,41,0.0223555070883315,27,0.0147219193020719,0,0.0,36047102400,1834,334,0.1821155943293348,1834,251,0.1368593238822246,1834,105,0.0572519083969465,143125,0.143125,12813.973799126636,0.6440645827436192
360471026001,360471026001,Block Group 1; Census Tract 1026; Kings County; New York,Brooklyn,2935,888,439,0.4943693693693693,1105,648,0.5864253393665159,710,0.24190800681431,709,0.2415672913117547,55,0.0187393526405451,2417,0.8235093696763203,56,0.0190800681431005,46,0.0156729131175468,98,0.1103603603603603,36047102600,2925,359,0.1227350427350427,2935,215,0.0732538330494037,2935,192,0.0654173764906303,135920,0.13592,21593.58446144791,0.644623284524198
360471028011,360471028011,Block Group 1; Census Tract 1028.01; Kings County; New York,Brooklyn,1146,495,232,0.4686868686868687,459,98,0.2135076252723311,215,0.18760907504363,324,0.2827225130890052,3,0.0026178010471204,818,0.7137870855148342,151,0.131762652705061,91,0.0794066317626527,16,0.0323232323232323,36047102801,1141,192,0.1682734443470639,1141,150,0.1314636283961437,1141,63,0.0552147239263803,153894,0.153894,7446.684081250731,0.6502306514735355
360470102001,360470102001,Block Group 1; Census Tract 102; Kings County; New York,Brooklyn,2062,473,390,0.8245243128964059,857,284,0.3313885647607935,522,0.2531522793404461,615,0.2982541222114452,82,0.0397672162948593,37,0.0179437439379243,1382,0.6702230843840931,539,0.2613967022308438,298,0.6300211416490487,36047010200,5152,1205,0.233889751552795,5201,412,0.0792155354739473,5201,407,0.0782541818880984,56616,0.056616,36420.7997739155,0.8593641591158896
360471034011,360471034011,Block Group 1; Census Tract 1034.01; Kings County; New York,Brooklyn,2498,1065,1065,1.0,635,334,0.525984251968504,664,0.2658126501200961,383,0.1533226581265012,91,0.0364291433146517,2023,0.8098478783026422,0,0.0,331,0.132506004803843,45,0.0422535211267605,36047103401,3637,1752,0.4817156997525433,3637,772,0.2122628540005499,3637,103,0.0283200439923013,86661,0.086661,28824.961632106715,0.6629827278033129
360470104011,360470104011,Block Group 1; Census Tract 104.01; Kings County; New York,Brooklyn,942,261,234,0.896551724137931,364,181,0.4972527472527472,272,0.2887473460721868,159,0.1687898089171974,80,0.0849256900212314,17,0.0180467091295116,658,0.6985138004246284,137,0.1454352441613588,155,0.5938697318007663,36047010401,2060,616,0.2990291262135922,2060,165,0.0800970873786407,2060,239,0.1160194174757281,37699,0.037699,24987.400196291677,0.8110359626644548
360470104021,360470104021,Block Group 1; Census Tract 104.02; Kings County; New York,Brooklyn,773,300,269,0.8966666666666666,369,132,0.3577235772357723,155,0.2005174644243208,101,0.130659767141009,54,0.0698576972833117,34,0.0439844760672703,653,0.8447606727037517,32,0.0413971539456662,185,0.6166666666666667,36047010402,2145,890,0.4149184149184149,2174,111,0.0510579576816927,2174,112,0.0515179392824287,38417,0.038417,20121.30046593956,0.8252587688594526
360471058011,360471058011,Block Group 1; Census Tract 1058.01; Kings County; New York,Brooklyn,1507,673,673,1.0,423,303,0.7163120567375887,190,0.126078301260783,302,0.2003981420039814,267,0.1771731917717319,1014,0.6728599867285998,0,0.0,109,0.0723291307232913,193,0.2867756315007429,36047105801,5635,1876,0.332919254658385,5589,1865,0.3336911791018071,5589,128,0.0229021291823224,84866,0.084866,17757.40579266137,0.7703001165381336
360471058041,360471058041,Block Group 1; Census Tract 1058.04; Kings County; New York,Brooklyn,518,112,90,0.8035714285714286,126,0,0.0,22,0.0424710424710424,297,0.5733590733590733,72,0.138996138996139,388,0.749034749034749,0,0.0,37,0.0714285714285714,0,0.0,36047105804,5933,1655,0.278948255519973,5933,1908,0.3215911006236305,5933,133,0.0224169897185235,334927,0.334927,1546.605678252276,0.5978036187754046
