GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360610010011,360610010011,Block Group 1; Census Tract 10.01; New York County; New York,Manhattan,1745,812,472,0.5812807881773399,983,349,0.3550356052899288,329,0.188538681948424,334,0.191404011461318,997,0.5713467048710602,52,0.0297994269340974,204,0.1169054441260745,323,0.1851002865329513,32,0.0394088669950738,36061001001,1745,69,0.0395415472779369,1745,109,0.0624641833810888,1745,0,0.0,80143,0.080143,21773.579726239343,0.7315615313739071
360610108031,360610108031,Block Group 1; Census Tract 108.03; New York County; New York,Manhattan,1129,639,579,0.9061032863849764,704,254,0.3607954545454545,173,0.1532329495128432,203,0.1798051372896368,777,0.6882196634189548,112,0.0992028343666961,188,0.16651904340124,32,0.0283436669619132,9,0.0140845070422535,36061010803,1922,105,0.054630593132154,1922,128,0.0665972944849115,1922,48,0.0249739854318418,35833,0.035833,31507.269835068237,0.8475109370943725
360610109001,360610109001,Block Group 1; Census Tract 109; New York County; New York,Manhattan,208,113,111,0.9823008849557522,151,24,0.1589403973509933,0,0.0,11,0.0528846153846153,99,0.4759615384615384,37,0.1778846153846154,47,0.2259615384615384,14,0.0673076923076923,3,0.0265486725663716,36061010900,208,59,0.2836538461538461,208,5,0.0240384615384615,208,3,0.0144230769230769,175741,0.175741,1183.5598978041548,0.5957340266464507
360610110001,360610110001,Block Group 1; Census Tract 110; New York County; New York,Manhattan,1138,447,446,0.9977628635346756,469,194,0.4136460554371002,439,0.3857644991212653,173,0.1520210896309314,618,0.5430579964850615,0,0.0,12,0.0105448154657293,508,0.4463971880492091,0,0.0,36061011000,6760,110,0.0162721893491124,6760,473,0.0699704142011834,6760,38,0.0056213017751479,17106,0.017106,66526.36501812229,0.8812380438929769
360610111001,360610111001,Block Group 1; Census Tract 111; New York County; New York,Manhattan,2370,1185,1125,0.9493670886075948,1557,542,0.3481053307642903,243,0.1025316455696202,142,0.0599156118143459,1027,0.4333333333333333,330,0.1392405063291139,654,0.2759493670886076,291,0.1227848101265822,221,0.1864978902953586,36061011100,4695,705,0.1501597444089457,4711,476,0.101040118870728,4711,292,0.0619825939291021,87690,0.08769,27027.027027027027,0.606375911747238
360610112011,360610112011,Block Group 1; Census Tract 112.01; New York County; New York,Manhattan,862,516,508,0.9844961240310076,436,129,0.2958715596330275,82,0.0951276102088167,212,0.2459396751740139,583,0.6763341067285383,0,0.0,157,0.1821345707656612,79,0.0916473317865429,6,0.0116279069767441,36061011201,862,119,0.1380510440835266,862,102,0.1183294663573085,862,8,0.0092807424593967,79536,0.079536,10837.85958559646,0.7135513121552237
360610112021,360610112021,Block Group 1; Census Tract 112.02; New York County; New York,Manhattan,518,313,224,0.7156549520766773,270,33,0.1222222222222222,26,0.0501930501930501,314,0.6061776061776062,418,0.806949806949807,0,0.0,37,0.0714285714285714,5,0.0096525096525096,0,0.0,36061011202,518,13,0.025096525096525,518,40,0.0772200772200772,518,10,0.0193050193050193,78008,0.078008,6640.344580043073,0.5940046191705706
360610112031,360610112031,Block Group 1; Census Tract 112.03; New York County; New York,Manhattan,584,355,345,0.971830985915493,338,111,0.3284023668639053,61,0.1044520547945205,141,0.2414383561643835,338,0.5787671232876712,0,0.0,130,0.2226027397260274,7,0.011986301369863,15,0.0422535211267605,36061011203,986,38,0.0385395537525354,986,81,0.0821501014198783,986,14,0.0141987829614604,38738,0.038738,15075.63632608808,0.8577369635638978
360610113001,360610113001,Block Group 1; Census Tract 113; New York County; New York,Manhattan,136,49,35,0.7142857142857143,56,22,0.3928571428571428,0,0.0,18,0.1323529411764706,33,0.2426470588235294,42,0.3088235294117647,29,0.213235294117647,26,0.1911764705882352,7,0.1428571428571428,36061011300,136,74,0.5441176470588235,136,25,0.1838235294117647,136,5,0.0367647058823529,175653,0.175653,774.2537844500237,0.7186603280101568
360610114011,360610114011,Block Group 1; Census Tract 114.01; New York County; New York,Manhattan,502,327,291,0.8899082568807339,144,16,0.1111111111111111,67,0.1334661354581673,260,0.5179282868525896,374,0.7450199203187251,4,0.0079681274900398,99,0.197211155378486,9,0.0179282868525896,10,0.0305810397553516,36061011401,1026,197,0.1920077972709551,1026,111,0.1081871345029239,1026,2,0.0019493177387914,49390,0.04939,10164.00080988054,0.6863877227004693
360610114021,360610114021,Block Group 1; Census Tract 114.02; New York County; New York,Manhattan,1433,716,545,0.7611731843575419,852,443,0.5199530516431925,176,0.1228192602930914,441,0.3077459874389393,1112,0.7759944173063503,19,0.0132588974180041,176,0.1228192602930914,117,0.0816468946266573,3,0.0041899441340782,36061011402,2298,76,0.0330722367275892,2298,284,0.1235857267188859,2298,23,0.0100087032201914,49160,0.04916,29149.715215622455,0.7834424429658946
