TRACT_GEOID,borough,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate
36005022800,Bronx,5628,551,0.09790334044065388,5687,636,0.11183400738526464,5687,203,0.03569544575347283
36005022901,Bronx,5918,1793,0.30297397769516726,5927,924,0.15589674371520162,5927,857,0.14459254260165344
36005022902,Bronx,3378,1038,0.30728241563055064,3378,945,0.2797513321492007,3378,249,0.07371225577264653
36005023000,Bronx,2889,1107,0.38317757009345793,2889,375,0.12980269989615784,2889,286,0.09899619245413638
36005023100,Bronx,1254,365,0.29106858054226475,1254,267,0.21291866028708134,1254,81,0.0645933014354067
36005023200,Bronx,2626,871,0.3316831683168317,2626,344,0.130997715156131,2626,139,0.05293221629855293
36005023301,Bronx,3814,1189,0.3117461982170949,3841,713,0.18562874251497005,3841,316,0.08227024212444675
36005023302,Bronx,3955,953,0.24096080910240203,3955,777,0.19646017699115045,3955,444,0.1122629582806574
36005023501,Bronx,2963,1203,0.40600742490718866,2963,701,0.23658454269321633,2963,237,0.07998650016874789
36005023502,Bronx,4276,1313,0.3070626753975678,4490,1549,0.344988864142539,4490,376,0.08374164810690424
36005023600,Bronx,1777,470,0.2644907146876759,1777,224,0.12605514912774338,1777,128,0.07203151378728194
36005023702,Bronx,1021,339,0.33202742409402547,1021,115,0.11263467189030363,1021,54,0.05288932419196866
36005023703,Bronx,4946,1948,0.3938536190861302,4959,863,0.17402702157693084,4959,400,0.08066142367412785
36005023704,Bronx,3358,1247,0.3713519952352591,3358,528,0.15723645026801666,3358,78,0.023228111971411555
36005023800,Bronx,2525,554,0.2194059405940594,2552,357,0.13989028213166144,2552,236,0.09247648902821316
36005023900,Bronx,8570,3371,0.39334889148191365,8591,1269,0.14771272261669188,8591,1558,0.18135257827959492
36005024000,Bronx,3855,725,0.1880674448767834,3834,515,0.1343244653103808,3834,275,0.07172665623369849
36005024100,Bronx,6067,2451,0.403988791824625,6078,922,0.15169463639355052,6078,650,0.10694307337940112
36005024300,Bronx,4133,1190,0.2879264456811033,4134,1032,0.24963715529753266,4134,124,0.02999516207063377
36005024400,Bronx,2241,388,0.17313699241410085,2252,230,0.10213143872113677,2252,246,0.10923623445825932
36005024501,Bronx,4813,1580,0.32827758154996883,4856,1298,0.2672981878088962,4856,1041,0.21437397034596375
36005024502,Bronx,4225,1014,0.24,4225,627,0.14840236686390532,4225,175,0.04142011834319527
36005024600,Bronx,2026,145,0.07156959526159921,2037,295,0.14482081492390772,2037,126,0.061855670103092786
36005024700,Bronx,1756,281,0.1600227790432802,1756,304,0.17312072892938496,1756,35,0.019931662870159454
36005024800,Bronx,3410,517,0.15161290322580645,3397,446,0.1312923167500736,3397,407,0.11981159846923756
36005024900,Bronx,0,0,,0,0,,0,0,
36005025000,Bronx,2748,296,0.10771470160116449,2763,290,0.10495837857401376,2763,130,0.047050307636626855
36005025100,Bronx,6983,2828,0.4049835314334813,6983,1730,0.24774452241157097,6983,813,0.11642560504081341
36005025200,Bronx,2469,123,0.04981773997569866,2582,212,0.08210689388071263,2582,110,0.042602633617350893
36005025300,Bronx,5477,1828,0.3337593573123973,5503,917,0.16663638015627838,5503,633,0.11502816645466109
36005025400,Bronx,2582,344,0.1332300542215337,2582,280,0.10844306738962045,2582,131,0.05073586367157242
36005025500,Bronx,6116,1379,0.22547416612164814,6136,1265,0.20616036505867014,6136,411,0.06698174706649283
36005025600,Bronx,1528,102,0.06675392670157068,1528,235,0.1537958115183246,1528,76,0.049738219895287955
36005025700,Bronx,1685,673,0.39940652818991096,1685,389,0.2308605341246291,1685,9,0.005341246290801187
36005026100,Bronx,2025,294,0.1451851851851852,2025,321,0.15851851851851853,2025,14,0.006913580246913581
36005026300,Bronx,5743,1357,0.23628765453595682,5743,951,0.16559289569911195,5743,285,0.0496256312032039
36005026400,Bronx,5790,724,0.12504317789291883,5870,399,0.06797274275979558,5870,187,0.03185689948892675
36005026500,Bronx,6803,1031,0.15155078641775688,6815,642,0.0942039618488628,6815,752,0.1103448275862069
36005026601,Bronx,3214,988,0.3074051026757934,3214,429,0.13347853142501556,3214,325,0.10112009956440572
36005026602,Bronx,5900,1002,0.16983050847457626,5900,1137,0.19271186440677965,5900,320,0.05423728813559322
36005026701,Bronx,3591,1043,0.290448343079922,3591,430,0.11974380395433026,3591,265,0.07379560011138958
36005026702,Bronx,6827,1379,0.20199209022996925,6817,1045,0.15329323749449905,6817,692,0.10151092856095056
36005026900,Bronx,3991,1506,0.3773490353294914,4040,897,0.22202970297029703,4040,102,0.02524752475247525
36005027300,Bronx,6218,1662,0.2672885172081055,6218,558,0.08973946606625925,6218,554,0.08909617240270183
36005027401,Bronx,4973,457,0.09189623969434949,4973,839,0.16871103961391515,4973,213,0.042831288960386085
36005027402,Bronx,3336,243,0.07284172661870504,3308,418,0.12636033857315598,3308,52,0.015719467956469165
36005027600,Bronx,154,16,0.1038961038961039,154,20,0.12987012987012986,154,25,0.16233766233766234
36005027700,Bronx,4474,1362,0.30442556995976755,4474,787,0.17590523021904336,4474,320,0.07152436298614215
36005027900,Bronx,8037,1379,0.17158143585915142,8003,1313,0.16406347619642633,8003,540,0.06747469698862926
36005028100,Bronx,3357,183,0.05451295799821269,3357,549,0.16353887399463807,3357,131,0.039022937146261545
36005028300,Bronx,2325,1516,0.6520430107526882,2325,477,0.20516129032258065,2325,117,0.05032258064516129
36005028400,Bronx,135,107,0.7925925925925926,135,32,0.23703703703703705,135,0,0.0
36005028500,Bronx,3414,353,0.10339777387229057,3422,586,0.1712448860315605,3422,111,0.03243717124488603
36005028600,Bronx,1248,90,0.07211538461538461,1248,169,0.13541666666666666,1248,48,0.038461538461538464
36005028700,Bronx,3529,311,0.08812694814395013,3530,427,0.12096317280453257,3530,436,0.1235127478753541
36005028800,Bronx,2589,238,0.09192738509076864,2589,297,0.11471610660486674,2589,123,0.047508690614136734
36005028900,Bronx,4314,804,0.18636995827538247,4314,448,0.10384793694946685,4314,424,0.09828465461288827
36005029301,Bronx,1710,94,0.05497076023391813,1710,187,0.10935672514619883,1710,37,0.021637426900584796
36005029302,Bronx,5319,94,0.017672494829855237,5319,759,0.14269599548787365,5319,94,0.017672494829855237
36005029500,Bronx,4582,740,0.1615015277171541,4582,589,0.1285464862505456,4582,37,0.008075076385857704
36005029600,Bronx,2018,375,0.18582755203171458,2304,205,0.08897569444444445,2304,71,0.030815972222222224
36005029700,Bronx,3926,133,0.03387671930718288,3926,824,0.20988283239938868,3926,48,0.012226184411614875
36005030000,Bronx,6860,625,0.09110787172011661,6920,604,0.08728323699421965,6920,295,0.04263005780346821
36005030100,Bronx,1215,99,0.08148148148148149,1215,130,0.10699588477366255,1215,11,0.00905349794238683
36005030201,Bronx,3681,377,0.10241782124422712,3681,581,0.1578375441456126,3681,215,0.05840804129312687
